사용월,호선명,역ID,지하철역,유임승차,유임하차,무임승차,무임하차,작업일시
2021-08,1호선,1,서울역,"792,988","756,399","145,014","136,947",2021-09-03 10:03:18
2021-08,1호선,10,동묘앞,"102,153","108,130","126,958","126,884",2021-09-03 10:03:18
2021-08,1호선,2,시청,"393,938","389,734","55,055","53,210",2021-09-03 10:03:18
2021-08,1호선,3,종각,"616,525","597,169","101,246","94,171",2021-09-03 10:03:18
2021-08,1호선,4,종로3가,"354,719","325,937","239,745","226,538",2021-09-03 10:03:18
2021-08,1호선,5,종로5가,"294,470","297,772","212,219","203,116",2021-09-03 10:03:18
2021-08,1호선,6,동대문,"177,982","165,020","96,696","95,636",2021-09-03 10:03:18
2021-08,1호선,7,신설동,"224,937","224,563","94,340","91,559",2021-09-03 10:03:18
2021-08,1호선,8,제기동,"197,069","191,778","213,619","230,294",2021-09-03 10:03:18
2021-08,1호선,9,청량리(서울시립대입구),"270,033","269,291","221,084","225,743",2021-09-03 10:03:18
2021-08,2호선,11,시청,"432,363","416,176","38,988","35,390",2021-09-03 10:03:18
2021-08,2호선,12,을지로입구,"746,057","756,840","72,063","66,949",2021-09-03 10:03:18
2021-08,2호선,13,을지로3가,"400,396","397,079","57,112","55,713",2021-09-03 10:03:18
2021-08,2호선,14,을지로4가,"210,497","208,301","70,504","69,591",2021-09-03 10:03:18
2021-08,2호선,15,동대문역사문화공원(DDP),"224,482","251,538","42,418","44,392",2021-09-03 10:03:18
2021-08,2호선,16,신당,"245,397","257,978","79,821","81,728",2021-09-03 10:03:18
2021-08,2호선,17,상왕십리,"271,693","263,782","55,042","55,731",2021-09-03 10:03:18
2021-08,2호선,18,왕십리(성동구청),"317,602","260,183","40,313","34,106",2021-09-03 10:03:18
2021-08,2호선,19,한양대,"130,467","133,476","9,609","9,422",2021-09-03 10:03:18
2021-08,2호선,20,뚝섬,"435,056","470,209","45,206","46,020",2021-09-03 10:03:18
2021-08,2호선,21,성수,"707,227","779,811","82,662","84,085",2021-09-03 10:03:18
2021-08,2호선,22,건대입구,"726,571","779,064","68,156","71,470",2021-09-03 10:03:18
2021-08,2호선,23,구의(광진구청),"462,644","457,944","80,830","82,923",2021-09-03 10:03:18
2021-08,2호선,24,강변(동서울터미널),"633,618","620,226","86,393","84,546",2021-09-03 10:03:18
2021-08,2호선,25,잠실나루,"255,382","249,343","62,537","62,903",2021-09-03 10:03:18
2021-08,2호선,26,잠실(송파구청),"1,401,484","1,382,916","137,872","131,411",2021-09-03 10:03:18
2021-08,2호선,27,잠실새내,"399,051","401,618","78,837","78,889",2021-09-03 10:03:18
2021-08,2호선,28,종합운동장,"124,233","133,983","29,649","30,872",2021-09-03 10:03:18
2021-08,2호선,29,삼성(무역센터),"993,775","1,002,202","82,505","75,051",2021-09-03 10:03:18
2021-08,2호선,30,선릉,"1,011,985","898,344","169,243","150,209",2021-09-03 10:03:18
2021-08,2호선,31,역삼,"935,409","1,035,992","118,132","118,905",2021-09-03 10:03:18
2021-08,2호선,32,강남,"1,740,176","1,700,077","134,535","119,073",2021-09-03 10:03:18
2021-08,2호선,33,교대(법원.검찰청),"623,938","703,572","110,561","123,252",2021-09-03 10:03:18
2021-08,2호선,34,서초,"413,224","391,825","54,704","53,931",2021-09-03 10:03:18
2021-08,2호선,35,방배,"301,101","323,088","53,735","53,461",2021-09-03 10:03:18
2021-08,2호선,36,사당,"680,207","752,106","130,768","125,386",2021-09-03 10:03:18
2021-08,2호선,37,낙성대(강감찬),"566,381","549,441","82,059","84,461",2021-09-03 10:03:18
2021-08,2호선,38,서울대입구(관악구청),"973,159","964,103","148,153","141,234",2021-09-03 10:03:18
2021-08,2호선,39,봉천,"450,915","416,674","113,664","114,157",2021-09-03 10:03:18
2021-08,2호선,40,신림,"1,327,193","1,288,306","176,411","179,633",2021-09-03 10:03:18
2021-08,2호선,41,신대방,"530,474","513,872","99,237","100,430",2021-09-03 10:03:18
2021-08,2호선,42,구로디지털단지,"1,200,446","1,206,206","130,858","133,287",2021-09-03 10:03:18
2021-08,2호선,43,대림(구로구청),"483,222","495,722","91,611","95,294",2021-09-03 10:03:18
2021-08,2호선,44,신도림,"961,401","942,214","149,081","139,794",2021-09-03 10:03:18
2021-08,2호선,45,문래,"404,772","418,721","60,026","59,323",2021-09-03 10:03:18
2021-08,2호선,46,영등포구청,"426,877","431,159","79,020","77,307",2021-09-03 10:03:18
2021-08,2호선,47,당산,"372,405","427,563","43,882","48,518",2021-09-03 10:03:18
2021-08,2호선,48,합정,"672,971","697,867","52,216","51,667",2021-09-03 10:03:18
2021-08,2호선,49,홍대입구,"1,172,536","1,201,862","75,396","71,591",2021-09-03 10:03:18
2021-08,2호선,50,신촌,"668,487","687,683","95,922","93,040",2021-09-03 10:03:18
2021-08,2호선,51,이대,"251,414","266,696","36,166","37,650",2021-09-03 10:03:18
2021-08,2호선,52,아현,"189,846","182,321","51,424","50,714",2021-09-03 10:03:18
2021-08,2호선,53,충정로(경기대입구),"177,046","186,320","38,195","38,365",2021-09-03 10:03:18
2021-08,2호선,54,용답,"49,096","48,655","14,749","14,576",2021-09-03 10:03:18
